콘텐츠명,등급,장애인전용객실여부,애완동물동반허용여부,조식제공여부,부대시설기타,LATE체크인여부,셔틀버스운행여부
제주엔펜션,0,X,X,X,정보 없음,X,X
노을과어울림,0,X,X,X,정보 없음,X,X
연지민박,0,X,X,X,정보 없음,X,X
노을과원담,0,X,X,X,정보 없음,X,X
커플게스트하우스,0,X,X,X,정보 없음,X,X
하도리보통날,0,X,X,X,정보 없음,X,X
몬딱게스트하우스,0,X,X,X,정보 없음,X,X
모물펜션,0,X,X,X,정보 없음,X,X
메르빌 펜션 & 게스트하우스,0,X,X,X,정보 없음,X,X
씨엘드제주,0,X,X,X,정보 없음,X,X
우도피아,0,X,X,X,정보 없음,X,X
해안길펜션,0,X,X,X,정보 없음,X,X
우도몽생이,0,X,X,X,정보 없음,X,X
비스타리조트,0,X,X,X,정보 없음,X,X
루미수다게스트하우스,0,X,X,X,정보 없음,X,X
더쉼팡스파&풀빌라,0,X,X,X,정보 없음,X,X
배목수집,0,X,X,X,정보 없음,X,X
제주양떼목장(미공개),0,X,X,X,정보 없음,X,X
지니아펜션,0,X,X,X,정보 없음,X,X
펜션형민박꿈꾸는숲,0,X,X,X,정보 없음,X,X
바닷가하얀집,0,X,X,X,정보 없음,X,X
남촌풀하우스,0,X,X,X,정보 없음,X,X
펜션소설,0,X,X,X,정보 없음,X,X
안녕한계절,0,X,X,X,정보 없음,X,X
쪼인게스트하우스,0,X,X,X,정보 없음,X,X
블란디야,0,X,X,X,정보 없음,X,X
제주시드니호텔,0,X,X,X,정보 없음,X,X
매직우드펜션,0,X,X,X,정보 없음,X,X
푸른바다펜션,0,X,X,X,정보 없음,X,X
바다풍경펜션,0,X,X,X,정보 없음,X,X
차니비니게스트하우스,0,X,X,X,정보 없음,X,X
야호비치하우스,0,X,X,X,정보 없음,X,X
호텔섬오름,0,X,X,X,정보 없음,X,X
벼리게스트하우스,0,X,X,X,정보 없음,X,X
청춘게스트하우스,0,X,X,X,정보 없음,X,X
표선이레하우스,0,X,X,X,정보 없음,X,X
제주비치펜션,0,X,X,X,정보 없음,X,X
리버풀펜션,0,X,X,X,정보 없음,X,X
마니주펜션,0,X,X,X,정보 없음,X,X
비스비제주 앤 팜빌리지,0,X,X,X,정보 없음,X,X
더갤러리펜션,0,X,X,X,정보 없음,X,X
블랙롯지,0,X,X,X,정보 없음,X,X
포비네오두막게스트하우스,0,X,X,X,정보 없음,X,X
제주도 애월 파티하는 오누 게스트하우스,0,X,X,X,정보 없음,X,X
빌라배알로,0,X,X,X,정보 없음,X,X
볼몽지엥하우스,0,X,X,X,정보 없음,X,X
소낭재,0,X,X,X,정보 없음,X,X
캠프마라도,0,X,X,X,정보 없음,X,X
길섶나그네펜션,0,X,X,X,정보 없음,X,X
월정소랑,0,X,X,X,정보 없음,X,X
아이콘펜션,0,X,X,X,정보 없음,X,X
뱅디가름게스트하우스,0,X,X,X,정보 없음,X,X
이디wan,0,X,X,X,정보 없음,X,X
수하리839,0,X,X,X,정보 없음,X,X
느르왓,0,X,X,X,정보 없음,X,X
오시록헌 AM,0,X,X,X,정보 없음,X,X
아모르하우스 오션뷰펜션,0,X,X,X,정보 없음,X,X
옥빛바다민박,0,X,X,X,정보 없음,X,X
나무아래독채펜션,0,X,X,X,정보 없음,X,X
데이즈호텔 제주서귀포오션,0,X,X,X,정보 없음,X,X
에바다라이더하우스.공방,0,X,X,X,정보 없음,X,X
미소게스트하우스,0,X,X,X,정보 없음,X,X
오션스카이,0,X,X,X,정보 없음,X,X
초록하우스,0,X,X,X,정보 없음,X,X
제주산내들,0,X,X,X,정보 없음,X,X
마주보기펜션,0,X,X,X,정보 없음,X,X
코코스펜션,0,X,X,X,정보 없음,X,X
환상의민박,0,X,X,X,정보 없음,X,X
땅콩펜션,0,X,X,X,정보 없음,X,X
콴도제주,0,X,X,X,정보 없음,X,X
제주머무리 삼양힐링팜,0,X,X,X,정보 없음,X,X
더본 호텔,0,X,X,X,정보 없음,X,X
늘푸른 게스트하우스,0,X,X,X,정보 없음,X,X
동산나라펜션,0,X,X,X,정보 없음,X,X
놀멍쉬멍고르멍,0,X,X,X,정보 없음,X,X
해담은스파빌,0,X,X,X,정보 없음,X,X
초콜릿펜션,0,X,X,X,정보 없음,X,X
해바라기,0,X,X,X,정보 없음,X,X
한라앤탐 펜션,0,X,X,X,정보 없음,X,X
리치호텔,0,X,X,X,정보 없음,X,X
그녀이야기 게스트하우스,0,X,X,X,정보 없음,X,X
삼다펜션,0,X,X,X,정보 없음,X,X
MJ펜션&리조트,0,X,X,X,정보 없음,X,X
휘슬락호텔,0,X,X,X,정보 없음,X,X
또랑게스트하우스,0,X,X,X,정보 없음,X,X
도시락게스트하우스,0,X,X,X,정보 없음,X,X
루체빌,0,X,X,X,정보 없음,X,X
밍기적게스트하우스,0,X,X,X,정보 없음,X,X
거드락지민박,0,X,X,X,정보 없음,X,X
더들집,0,X,X,X,정보 없음,X,X
더하도스파빌라,0,X,X,X,정보 없음,X,X
제주그린펜션,0,X,X,X,정보 없음,X,X
제니빌펜션,0,X,X,X,정보 없음,X,X
쉴띠펜션&게스트하우스,0,X,X,X,정보 없음,X,X
미쓰홍당무하우스,0,X,X,X,정보 없음,X,X
데이빗펜션,0,X,X,X,정보 없음,X,X
b5m 민박,0,X,X,X,정보 없음,X,X
캠퍼트리 호텔앤리조트,0,X,X,X,정보 없음,X,X
해비치불턱카페&게스트하우스,0,X,X,X,정보 없음,X,X
소풍이야기 펜션,0,X,X,X,정보 없음,X,X
오션스퀘어,0,X,X,X,정보 없음,X,X
마리아주펜션,0,X,X,X,정보 없음,X,X
남쪽나라빌,0,X,X,X,정보 없음,X,X
라라게스트하우스,0,X,X,X,정보 없음,X,X
마린포트리조트,0,X,X,X,정보 없음,X,X
넙빌레하우스,0,X,X,X,정보 없음,X,X
봉쟈 게스트하우스,0,X,X,X,정보 없음,X,X
엘쯔타운 독채펜션,0,X,X,X,정보 없음,X,X
솔로 게스트하우스,0,X,X,X,정보 없음,X,X
늘해랑펜션,0,X,X,X,정보 없음,X,X
시월애,0,X,X,X,정보 없음,X,X
밸류호텔 월드와이드 제주,0,X,X,X,정보 없음,X,X
게스트하우스7,0,X,X,X,정보 없음,X,X
이디하우스n카페,0,X,X,X,정보 없음,X,X
미르앤러브게스트하우스,0,X,X,X,정보 없음,X,X
켄싱턴제주호텔,0,X,X,X,정보 없음,X,X
그라벨호텔,0,X,X,X,정보 없음,X,X
더코브호텔,0,X,X,X,정보 없음,X,X
ATnoon호텔,0,X,X,X,정보 없음,X,X
제주 제이제이 게스트하우스,0,X,X,X,정보 없음,X,X
바람이머물다,0,X,X,X,정보 없음,X,X
단추스테이 단추숲,0,X,X,X,정보 없음,X,X
바다의향기,0,X,X,X,정보 없음,X,X
발리인제주,0,X,X,X,정보 없음,X,X
산과바다사이,0,X,X,X,정보 없음,X,X
우도쉼팡게스트하우스,0,X,X,X,정보 없음,X,X
돌빌리지펜션,0,X,X,X,정보 없음,X,X
나바론민박,0,X,X,X,정보 없음,X,X
제주갤럭시호텔,0,X,X,X,정보 없음,X,X
제니아관광호텔,0,X,X,X,정보 없음,X,X
블루마운틴호텔,0,X,X,X,정보 없음,X,X
소섬바당,0,X,X,X,정보 없음,X,X
전원민박,0,X,X,X,정보 없음,X,X
단빌리지민박,0,X,X,X,정보 없음,X,X
제주모모,0,X,X,X,정보 없음,X,X
닐펜션,0,X,X,X,정보 없음,X,X
103순례자의집,0,X,X,X,정보 없음,X,X
유니콘펜션,0,X,X,X,정보 없음,X,X
제주BNB펜션,0,X,X,X,정보 없음,X,X
산방산에펜션,0,X,X,X,정보 없음,X,X
리치망고펜션,0,X,X,X,정보 없음,X,X
그림그리는펜션,0,X,O,X,정보 없음,X,X
블루마린,0,X,X,X,정보 없음,X,X
포유펜션,0,X,X,X,정보 없음,X,X
호텔 샬롬제주,0,X,X,X,정보 없음,X,X
한모살,0,X,X,X,정보 없음,X,X
해비치 바람의집 펜션&카페,0,X,X,X,정보 없음,X,X
동백동산펜션,0,X,X,X,정보 없음,X,X
우리희망이 게스트하우스,0,X,X,X,정보 없음,O,X
아침해변,0,X,X,X,정보 없음,X,X
마빈,0,X,X,X,정보 없음,X,X
관식이네민박,0,X,X,X,정보 없음,X,X
제주항공우주호텔,0,X,X,X,정보 없음,X,X
엠버호텔,0,X,X,X,정보 없음,X,X
더쇼어호텔제주,0,X,X,X,정보 없음,X,X
라자관광호텔,0,X,X,X,정보 없음,X,X
베니키아 아이진호텔,0,X,X,X,정보 없음,X,X
씨제이 관광호텔,0,X,X,X,정보 없음,X,X
더비비스제주,0,X,X,X,정보 없음,X,X
UTS제주골프빌리지,0,X,X,X,정보 없음,X,X
동촌하우스,0,X,X,X,정보 없음,X,X
호텔 펠리시아,0,X,X,X,정보 없음,X,X
엠버하우스,0,X,X,X,정보 없음,X,X
지현민박,0,X,X,X,정보 없음,X,X
태흥리조트,0,X,X,X,정보 없음,X,X
하늘을달리다,0,X,X,X,정보 없음,X,X
마라도게스트하우스,0,X,X,X,정보 없음,X,X
엄블랑펜션,0,X,X,X,정보 없음,X,X
토마토하우스,0,X,X,X,정보 없음,X,X
해돋는마을,0,X,X,X,정보 없음,X,X
제주돌집2호점 (스코리아),0,X,X,X,정보 없음,X,X
강남하우스펜션,0,X,X,X,정보 없음,X,X
JAY&CHLOE,0,X,X,X,정보 없음,X,X
베누스무인텔,0,X,X,X,정보 없음,X,X
편운산장,0,X,X,X,정보 없음,X,X
나무이야기 게스트하우스 남원점,0,X,X,X,정보 없음,X,X
포구민박,0,X,X,X,정보 없음,X,X
알랑가게스트하우스,0,X,X,X,정보 없음,X,X
한라하이츠펜션,0,X,X,X,정보 없음,X,X
담앤루리조트,0,X,X,X,정보 없음,X,X
뚜르드제주게스트하우스,0,X,X,X,카페,X,X
자유게스트하우스,0,X,X,X,정보 없음,X,X
까사데비발디호텔,0,X,X,X,정보 없음,X,X
쇠소깍섬도리왓펜션,0,X,X,X,정보 없음,X,X
제주게스트하우스 하쿠나마타타,0,X,X,X,정보 없음,X,X
볼레낭펜션,0,X,X,X,정보 없음,X,X
바당갤러리펜션,0,X,X,X,정보 없음,X,X
제주목화휴양펜션,0,X,X,X,정보 없음,X,X
더하우스펜션,0,X,X,X,정보 없음,X,X
카사마리나,0,X,X,X,정보 없음,X,X
드헤브펜션,0,X,X,X,정보 없음,X,X
썬비치민박,0,X,X,X,정보 없음,X,X
백악관민박,0,X,X,X,정보 없음,X,X
우도노을사랑,0,X,X,X,정보 없음,X,X
동굴민박,0,X,X,X,정보 없음,X,X
해녀촌민박,0,X,X,X,정보 없음,X,X
우도스쿠버리조트,0,X,X,X,정보 없음,X,X
제주알호텔(R호텔),0,X,X,X,정보 없음,X,X
이어도펜션,0,X,X,X,정보 없음,X,X
해변의집,0,X,X,X,정보 없음,X,X
미래하우스,0,X,X,X,정보 없음,X,X
골든비치,0,X,X,X,정보 없음,X,X
해뜨는집,0,X,X,X,정보 없음,X,X
제이제이하우스,0,X,X,X,정보 없음,X,X
비젠빌리지,0,X,X,X,정보 없음,X,X
제이앤클로이,0,X,X,X,정보 없음,X,X
밥게스트하우스,0,X,X,X,정보 없음,X,X
지니코티지,0,X,X,X,정보 없음,X,X
밸류호텔 서귀포(VALUE HOTEL Seogwipo JS),0,X,X,X,정보 없음,X,X
해오름정원,0,X,X,X,정보 없음,X,X
아모렉스리조트,0,X,X,X,정보 없음,X,X
제주파크랜드,0,X,X,X,정보 없음,X,X
초록새록,0,X,X,X,정보 없음,X,X
야스라기펜션,0,X,X,X,정보 없음,X,X
다솜펜션,0,X,X,X,정보 없음,X,X
사랑터울펜션,0,X,X,X,정보 없음,X,X
제주쉼표,0,X,X,X,정보 없음,X,X
메모리제주펜션,0,X,X,X,정보 없음,X,X
바다위올레펜션,0,X,X,X,정보 없음,X,X
낭만펜션,0,X,X,X,정보 없음,X,X
펜션머물다,0,X,X,X,정보 없음,X,X
할망숙소,0,X,X,X,정보 없음,X,X
소노캄제주,0,X,O,X,정보 없음,X,X
뒹글하우스,0,X,X,X,정보 없음,X,X
썬비치리조트,0,X,X,X,정보 없음,X,X
송림원,0,X,X,X,정보 없음,X,X
꿈꾸는바다펜션,0,X,X,X,정보 없음,X,X
하도하도1929,0,X,X,X,정보 없음,X,X
하도하도3200,0,X,X,X,정보 없음,X,X
신흥소시민,0,X,X,X,정보 없음,X,X
아토하우스,0,X,X,X,정보 없음,X,X
바다별,0,X,X,X,정보 없음,X,X
제주노블레스관광호텔,0,X,X,X,정보 없음,X,X
자넷앤캐시,0,X,X,X,정보 없음,X,X
서머셋 제주신화월드 호텔앤리조트,0,O,O,X,"물품보관소,",X,O
오조리비앤비(Ojoribnb),0,X,X,X,정보 없음,X,X
잼잼팩토리,0,X,X,X,정보 없음,X,X
게으르게,0,X,X,X,정보 없음,X,X
핫플게스트하우스,0,X,X,X,정보 없음,X,X
예닮게스트하우스,0,X,X,X,정보 없음,X,X
체이슨호텔 더 스마일,0,X,X,X,정보 없음,X,X
나무처럼 게스트하우스,0,X,X,X,정보 없음,X,X
제주이글루,0,X,X,X,정보 없음,X,X
노닐다 게스트하우스,0,X,X,X,정보 없음,X,X
맑은바람 펜션,0,X,X,X,정보 없음,X,X
예이츠산장,0,X,O,X,정보 없음,X,X
오션그랜드호텔 (함덕),0,X,X,X,정보 없음,X,X
핸즈인제주,0,X,X,X,정보 없음,X,X
 메리어트관 제주신화월드 호텔앤리조트,0,O,X,X,사우나,X,O
제주다이브 게스트하우스,0,X,X,X,정보 없음,X,X
제주사랑 펜션,0,X,X,X,정보 없음,X,X
사면초가펜션,0,X,X,X,정보 없음,X,X
유탑유블레스호텔,0,X,X,X,정보 없음,X,X
제주가온29,0,X,X,X,정보 없음,X,X
JK라마다앙코르 제주연동호텔,0,X,X,X,정보 없음,X,X
웰컴모텔,0,O,O,O,정보 없음,O,O
웰컴호스텔,2,O,O,O,정보 없음,O,O
조천스테이,0,X,X,X,정보 없음,X,X
시땅,0,X,X,X,정보 없음,X,X
비자낭달집,0,X,X,X,정보 없음,X,X
런호텔,0,X,X,X,정보 없음,X,X
곱을락 (숙박),0,X,X,X,정보 없음,X,X
구름밭하우스,0,X,X,X,정보 없음,X,X
호텔제이엠,3,X,X,X,정보 없음,X,X
제주하나호텔,0,X,X,X,정보 없음,X,X
훼밀리민박,0,X,X,X,정보 없음,X,X
힐링하우스,0,X,X,X,정보 없음,X,X
제주스위트모텔,0,X,X,X,정보 없음,X,X
신강남모텔,0,X,X,X,정보 없음,X,X
아트모텔,0,X,X,X,정보 없음,X,X
백패커스홈,0,X,X,X,정보 없음,X,X
베니키아 중문호텔,0,X,X,X,정보 없음,X,X
봉아저씨네민박,0,X,X,X,정보 없음,X,X
블루베이휴양펜션,0,X,X,X,정보 없음,X,X
비롯하우스,0,X,X,X,정보 없음,X,X
빌로우비치호텔,0,X,X,X,정보 없음,X,X
푸른밤글램핑게스트하우스,0,X,X,X,정보 없음,X,X
샤론의 집 펜션,0,X,X,X,정보 없음,X,X
소랑호젠,0,X,X,X,정보 없음,X,X
중문올레펜션,0,X,X,X,정보 없음,X,X
채송화민박,0,X,X,X,정보 없음,X,X
오름길벗 게스트하우스,0,X,X,X,정보 없음,X,X
꽃머채 펜션,0,X,X,X,정보 없음,X,X
꿈의바다,0,X,X,X,정보 없음,X,X
나뜨랑펜션,0,X,X,X,정보 없음,X,X
가이아호텔,0,X,X,X,정보 없음,X,X
김녕몽생이,0,X,X,X,정보 없음,X,X
단디해라 게스트하우스,0,X,X,X,정보 없음,X,X
또오크라,0,X,X,X,정보 없음,X,X
제주애단비 마주,0,X,O,X,정보 없음,X,X
이경훈 게스트하우스,0,X,X,X,정보 없음,X,X
이공일삼게스트하우스,0,X,X,X,정보 없음,X,X
이런날엔,0,X,X,X,정보 없음,X,X
이모와 삼촌네,0,X,X,X,정보 없음,X,X
장원민박,0,X,X,X,정보 없음,X,X
제주감귤농협카라반,0,X,X,X,정보 없음,X,X
제주노스빌리지,0,X,X,X,정보 없음,X,X
제주도 레인보우,0,X,X,X,정보 없음,X,X
제주애견동반감성숙소 르페도라,0,X,O,X,정보 없음,X,X
호텔 스카이파크 제주1호점,0,X,X,X,정보 없음,X,X
모멘토호텔,0,X,X,X,정보 없음,X,X
휴마루리조트,0,X,X,X,정보 없음,X,X
더살다,0,X,X,X,정보 없음,X,X
온더스톤게스트하우스,0,X,X,X,정보 없음,X,X
제주도푸른산푸른바다,0,X,X,X,정보 없음,X,X
제주디오빌,2,X,X,X,정보 없음,X,X
제주bp게스트하우스 JEJU BP GUESTHOUSE(폐업),0,X,X,X,정보 없음,X,X
For 安(포안),0,X,X,X,정보 없음,X,X
ZeZuZip,0,X,X,X,정보 없음,X,X
가원비치펜션,0,X,X,X,정보 없음,X,X
간드락게스트하우스,0,X,X,X,정보 없음,X,X
게스트하우스 도치,0,X,X,X,정보 없음,X,X
트로피카 게스트하우스,0,X,X,X,정보 없음,X,X
하루나의 뜰,0,X,X,X,정보 없음,X,X
달자펜션,0,X,X,X,정보 없음,X,X
말짜게스트하우스,0,X,X,X,정보 없음,X,X
그럼에도불구하고게스트하우스,0,X,X,X,정보 없음,X,X
기분좋은 민박,0,X,X,X,정보 없음,X,X
꿈꾸는 노마드,0,X,X,X,정보 없음,X,X
꿈꾸는정원,0,X,X,X,정보 없음,X,X
제주 퍼시픽호텔,0,X,X,X,정보 없음,X,X
나무이야기,0,X,X,X,정보 없음,X,X
타미우스골프앤빌리지,0,X,X,X,정보 없음,X,X
네모난 집,0,X,X,X,정보 없음,X,X
뉴그린펜션,0,X,X,X,정보 없음,X,X
다래산장펜션,0,X,X,X,정보 없음,X,X
라온호텔앤리조트,0,X,X,X,정보 없음,X,X
레디메이드,0,X,X,X,정보 없음,X,X
레프트핸더 게스트하우스,0,X,X,X,정보 없음,X,X
롯데시티호텔 제주,0,X,X,X,정보 없음,X,X
메종 글래드 제주,5,X,X,X,정보 없음,X,X
독채민박 바당집,0,X,X,X,정보 없음,X,X
성산우리집 펜션,0,X,X,X,정보 없음,X,X
올레스테이,0,X,X,X,정보 없음,X,X
제주아트하우스,0,X,X,X,정보 없음,X,X
제주조이랜드,0,X,X,X,정보 없음,X,X
키코앤일레인호텔,0,X,X,X,정보 없음,X,X
나무이야기 하우스,0,X,X,X,정보 없음,X,X
남원화이트빌리지,0,X,X,X,정보 없음,X,X
노을담은뜨락,0,X,X,X,정보 없음,X,X
늘송파크텔,0,X,X,X,정보 없음,X,X
다이아몬드 호텔 제주,2,X,X,X,정보 없음,X,X
달콤한소금만들기,0,X,X,X,정보 없음,X,X
대유모텔,0,X,X,X,정보 없음,X,X
더베이 제주 리조트,0,X,X,X,정보 없음,X,X
동박생이,0,X,X,X,정보 없음,X,X
드림시아펜션,0,X,X,X,정보 없음,X,X
디아일랜드 블루 호텔,0,X,X,X,정보 없음,X,X
뜨리바다펜션,0,X,X,X,정보 없음,X,X
제주캠핑올레,0,X,X,X,정보 없음,X,X
야자수민박(제주캠핑베이),0,X,X,X,정보 없음,X,X
우리이야기,0,X,X,X,정보 없음,X,X
꽃향기바다소리,0,X,X,X,정보 없음,X,X
하랑 게스트하우스,0,X,X,X,정보 없음,X,X
에덴호스텔,0,X,X,X,정보 없음,X,X
에리두 Cafe n Beds,0,X,X,X,정보 없음,X,X
에쿠스모텔,0,X,X,X,정보 없음,X,X
에프원모텔,0,X,X,X,정보 없음,X,X
옛살라비펜션,0,X,X,X,정보 없음,X,X
오렌지트리 호텔,0,X,X,X,정보 없음,X,X
올레코지하우스,0,X,X,X,정보 없음,X,X
와이리조트 제주,0,X,X,X,정보 없음,X,X
외도바다민박,0,X,X,X,정보 없음,X,X
외돌개나라,0,X,X,X,정보 없음,X,X
웰빙하우스,0,X,X,X,정보 없음,X,X
라메종베니in제주,0,X,X,X,정보 없음,X,X
라이온힐펜션,0,X,X,X,정보 없음,X,X
라포즈,0,X,X,X,정보 없음,X,X
로그빌리지 펜션,0,X,X,X,정보 없음,X,X
롯데호텔 제주,5,X,X,X,정보 없음,X,X
린앤솔게스트하우스,0,X,X,X,정보 없음,X,X
마이테르유스호스텔,0,X,X,X,정보 없음,X,X
라림부띠끄호텔,0,X,X,X,정보 없음,X,X
물고기나무게스트하우스,0,X,X,X,정보 없음,X,X
코티지락독채펜션,0,X,X,X,정보 없음,X,X
제주올레하우스팬션,0,X,X,X,정보 없음,X,X
윈드힐펜션,0,X,X,X,정보 없음,X,X
유로리조트,0,X,X,X,정보 없음,X,X
율게스트하우스,0,X,X,X,정보 없음,X,X
산방산해오름펜션,0,X,X,X,정보 없음,X,X
김마담하우스,0,X,X,X,정보 없음,X,X
메모리 인 제주 펜션,0,X,X,X,정보 없음,X,X
에너벨리민박,0,X,X,X,정보 없음,X,X
예하게스트하우스,0,X,X,X,정보 없음,X,X
오션스위츠 제주호텔,4,X,X,X,정보 없음,X,X
올레프로방스펜션,0,X,X,X,정보 없음,X,X
월령게스트하우스,0,X,X,X,정보 없음,X,X
꽃하루방게스트하우스,0,X,X,X,정보 없음,X,X
자연하우스,0,X,X,X,정보 없음,X,X
하와이펜션,0,X,X,X,정보 없음,X,X
안뜨르 펜션,0,X,X,X,정보 없음,X,X
리브라이프스테이,0,X,X,X,정보 없음,X,X
허브인휴양펜션,0,X,X,X,정보 없음,X,X
제주별장,0,X,X,X,정보 없음,X,X
제주빌레성 통나무휴양펜션,0,X,X,X,정보 없음,X,X
제주쉐르빌(중문),0,X,X,X,정보 없음,X,X
제주시 그린모텔,0,X,X,X,정보 없음,X,X
제주신신휴양펜션,0,X,X,X,정보 없음,X,X
제주아이브리조트,0,X,X,X,정보 없음,X,X
제주카사블랑카펜션,0,X,X,X,정보 없음,X,X
로지게스트하우스,0,X,X,X,정보 없음,X,X
곰씨비씨게스트하우스,0,X,X,X,정보 없음,X,X
사조리조트,0,X,X,X,정보 없음,X,X
풍차와노을 독채펜션,0,X,X,X,정보 없음,X,X
카노푸스 게스트하우스,0,X,X,X,정보 없음,X,X
WITH US,0,X,X,X,정보 없음,X,X
YOU&I게스트하우스,0,X,X,X,정보 없음,X,X
몬떼뷰 스테이,0,X,X,X,정보 없음,X,X
무위재,0,X,X,X,정보 없음,X,X
미도호스텔,0,X,X,X,정보 없음,X,X
절물길펜션,0,X,X,X,정보 없음,X,X
제주 오션팰리스 호텔,0,X,X,X,정보 없음,X,X
라마다 제주 함덕 호텔,0,X,X,X,정보 없음,X,X
제주마실게스트하우스,0,X,X,X,정보 없음,X,X
제주별바람펜션,0,X,X,X,정보 없음,X,X
몬딱쉼터,0,X,X,X,정보 없음,X,X
엠마오가는길,0,X,X,X,정보 없음,X,X
웨스티하우스,0,X,O,X,정보 없음,X,X
서귀포오소록민박,0,X,X,X,정보 없음,X,X
호텔 마레,0,X,X,X,정보 없음,X,X
밀라노 모텔,0,X,X,X,정보 없음,X,X
파미유스파리조트,0,X,X,X,정보 없음,X,X
토스카나호텔,0,X,X,X,정보 없음,X,X
신촌돌집,0,X,X,X,정보 없음,X,X
레몬트리게스트하우스,0,X,X,X,정보 없음,X,X
흰고래게스트하우스,0,X,X,X,정보 없음,X,X
탐탐56,0,X,X,X,정보 없음,X,X
민박하얀집,0,X,X,X,"평상, 파라솔",X,X
밀감나무펜션,0,X,X,X,정보 없음,X,X
바다드림펜션,0,X,X,X,정보 없음,X,X
바다파파,0,X,X,X,정보 없음,X,X
방울풍뎅이 하우스,0,X,X,X,정보 없음,X,X
베리안,0,X,X,X,정보 없음,X,X
별똥별채집소,0,X,X,X,정보 없음,X,X
볕들이펜션,0,X,X,X,정보 없음,X,X
부띠끄풀빌라루온토,0,X,X,X,정보 없음,X,X
블루네집,0,X,X,X,정보 없음,X,X
블루비치,0,X,X,X,정보 없음,X,X
블루하와이리조트,0,X,X,X,정보 없음,X,X
새벽별 펜션,0,X,X,X,정보 없음,X,X
미르빌펜션,0,X,X,X,정보 없음,X,X
민중각 게스트하우스,0,X,X,X,정보 없음,X,X
하바나블루스,0,X,X,X,정보 없음,X,X
팔도민박,0,X,X,X,정보 없음,X,X
랜딩관 제주신화월드 호텔앤리조트,0,O,X,X,사우나,X,O
쿨쿨하우스,0,X,X,X,정보 없음,X,X
서귀포KAL호텔,5,X,X,X,정보 없음,X,X
서귀포시달빛게스트하우스,0,X,X,X,정보 없음,X,X
선스토리,0,X,X,X,정보 없음,X,X
성산풀하우스,0,X,X,X,정보 없음,X,X
셋째날,0,X,X,X,정보 없음,X,X
소리게스트하우스,0,X,X,X,정보 없음,X,X
제주팡숑예래,0,X,X,X,정보 없음,X,X
구덕게스트하우스,0,X,X,X,정보 없음,X,X
조은리조트,0,X,X,X,정보 없음,X,X
중문그린힐통나무펜션,0,X,X,X,정보 없음,X,X
카이리조트,0,X,X,X,정보 없음,X,X
코델리아리조트(폐업),0,X,X,X,정보 없음,X,X
콤마하우스,0,X,X,X,정보 없음,X,X
헌스빌펜션,0,X,X,X,정보 없음,X,X
제주엠리조트,0,X,X,X,정보 없음,X,X
제주올레모텔,0,X,X,X,정보 없음,X,X
킴스캐빈,0,X,X,X,정보 없음,X,X
테라피민박,0,X,X,X,정보 없음,X,X
트리하우스,0,X,X,X,정보 없음,X,X
파더하우스,0,X,X,X,정보 없음,X,X
파크 선샤인 제주,0,X,X,X,정보 없음,X,X
펠리스타운,0,X,X,X,정보 없음,X,X
포도호텔,0,X,X,X,정보 없음,X,X
폴에이리조트,0,X,X,X,정보 없음,X,X
풍경호텔(풍경관광호텔),0,X,X,X,정보 없음,X,X
필그림 BnB,0,X,X,X,정보 없음,X,X
하얀언덕,0,X,X,X,정보 없음,X,X
늘작,0,X,X,X,정보 없음,X,X
바람돌이하우스,0,X,X,X,정보 없음,X,X
쫄깃센터,0,X,X,X,정보 없음,X,X
돌담민박,0,X,X,X,정보 없음,X,X
해비치 호텔앤드리조트 제주,5,X,X,X,정보 없음,X,X
해피데이펜션,0,X,X,X,정보 없음,X,X
솔바람풍경소리펜션,0,X,X,X,정보 없음,X,X
수필하우스,0,X,X,X,정보 없음,X,X
숨비아일랜드,0,X,X,X,정보 없음,X,X
스카이리더스호텔,0,X,X,X,정보 없음,X,X
스쿠버스토리,0,X,X,X,정보 없음,X,X
일출언덕신산게스트하우스,0,X,X,X,정보 없음,X,X
아뜨네통나무펜션,0,X,X,X,정보 없음,X,X
아름다운리조트,0,X,X,X,정보 없음,X,X
안녕프로젝트 게스트하우스,0,X,X,X,정보 없음,X,X
팜밸리리조트,0,X,X,X,정보 없음,X,X
폴리 파크 카라반,0,X,X,X,정보 없음,X,X
프레리아 커플 독채펜션,0,X,X,X,정보 없음,X,X
하바다 통나무집,0,X,X,X,정보 없음,X,X
하이클래스제주,0,X,X,X,정보 없음,X,X
해마지펜션,0,X,X,X,정보 없음,X,X
제마펜션,0,X,X,X,정보 없음,X,X
숲속의궁전,0,X,X,X,정보 없음,X,X
추자바다 25시,0,X,X,X,정보 없음,X,X
블랙스톤리조트,0,X,X,X,정보 없음,X,X
켄싱턴리조트 제주 한림점,0,X,X,X,정보 없음,X,X
푸른콘도,0,X,X,X,정보 없음,X,X
cafe말/개스트하우스 말,0,X,X,X,정보 없음,X,X
GUROOMI,0,X,X,X,정보 없음,X,X
IGH펜션,0,X,X,X,정보 없음,X,X
가름게스트하우스,0,X,X,X,정보 없음,X,X
가산토방,0,X,X,X,정보 없음,X,X
가족민박,0,X,X,X,정보 없음,X,X
감비나무,0,X,X,X,정보 없음,X,X
걸리버여행,0,X,X,X,정보 없음,X,X
고내촌휴양펜션,0,X,X,X,정보 없음,X,X
하워드 존슨 호텔 제주 서귀포 하버,0,X,X,X,정보 없음,X,X
두베하우스,0,X,X,X,정보 없음,X,X
